# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
B4GAT1,0.125,0.422,0.000e+0
AF067845.2,0.010,0.421,9.444e-160
QDPR,0.108,0.421,0.000e+0
SLC7A8,0.079,0.421,0.000e+0
CDK18,0.051,0.421,0.000e+0
PRPS1,0.053,0.420,0.000e+0
NEURL1,0.101,0.420,0.000e+0
BEX3,0.298,0.420,0.000e+0
NBPF9,0.031,0.419,0.000e+0
SELENOI,0.085,0.418,0.000e+0
ATP6V0A1,0.253,0.417,0.000e+0
GS1-114I9.3,0.042,0.416,0.000e+0
ARHGDIG,0.102,0.415,0.000e+0
ARL17B,0.184,0.415,0.000e+0
MTMR1,0.088,0.414,0.000e+0
RHPN1,0.060,0.414,0.000e+0
NSUN5,0.041,0.414,0.000e+0
TMED7-TICAM2,0.017,0.414,9.004e-272
UNC13A,0.199,0.413,0.000e+0
HIC2,0.079,0.413,0.000e+0
UBE2Q2L,0.021,0.413,0.000e+0
VSNL1,0.390,0.413,0.000e+0
MLF2,0.129,0.413,0.000e+0
SERPINB9,0.064,0.413,0.000e+0
CLUH,0.057,0.412,0.000e+0
TMEM63B,0.122,0.412,0.000e+0
ARMC9,0.210,0.412,0.000e+0
SYT7,0.162,0.411,0.000e+0
PNPLA6,0.082,0.411,0.000e+0
RP11-2E11.9,0.019,0.411,5.046e-295
DCP1A,0.077,0.411,0.000e+0
STAC2,0.051,0.410,0.000e+0
MARF1,0.063,0.410,0.000e+0
TMEM30A,0.136,0.410,0.000e+0
RPRML,0.047,0.410,0.000e+0
VIPR1,0.047,0.410,0.000e+0
EBLN3P,0.037,0.409,0.000e+0
ANKRD24,0.078,0.409,0.000e+0
CNTNAP1,0.068,0.409,0.000e+0
VPS50,0.132,0.409,0.000e+0
PPP1R10,0.062,0.408,0.000e+0
RP11-439A17.10,0.010,0.408,4.150e-154
SNTG1,0.548,0.408,0.000e+0
HNRNPH2,0.074,0.407,0.000e+0
SCRT1,0.047,0.407,0.000e+0
ATXN7L3,0.065,0.407,0.000e+0
NPIPA5,0.035,0.407,0.000e+0
UBXN6,0.079,0.406,0.000e+0
HDGFL3,0.129,0.405,0.000e+0
P2RX6,0.027,0.405,0.000e+0
WASHC2A,0.036,0.404,0.000e+0
HSPB8,0.025,0.403,0.000e+0
SNHG9,0.062,0.403,0.000e+0
NUTM2B-AS1,0.130,0.403,0.000e+0
PPIG,0.191,0.402,0.000e+0
FNIP2,0.185,0.402,0.000e+0
WDR46,0.030,0.401,0.000e+0
SRGAP2C,0.071,0.401,0.000e+0
JADE1,0.070,0.401,0.000e+0
LINC02241,0.049,0.401,0.000e+0
HDGFL2,0.045,0.401,0.000e+0
PLCH2,0.059,0.400,0.000e+0
KDM5C,0.055,0.400,0.000e+0
SPDYE3,0.066,0.400,0.000e+0
CEP41,0.034,0.400,0.000e+0
CTD-2050E21.1,0.023,0.399,0.000e+0
TTYH1,0.052,0.399,0.000e+0
MACIR,0.050,0.398,0.000e+0
BCAR1,0.077,0.398,0.000e+0
TSC22D3,0.079,0.398,0.000e+0
CACNG8,0.180,0.398,0.000e+0
TMSB10,0.399,0.398,0.000e+0
SYNRG,0.075,0.398,0.000e+0
CNNM1,0.124,0.397,0.000e+0
GALNT16,0.085,0.397,0.000e+0
CXorf38,0.049,0.397,0.000e+0
INTS3,0.056,0.397,0.000e+0
ZC3H11B,0.009,0.397,7.752e-146
RP11-191L9.4,0.280,0.396,0.000e+0
C16orf72,0.077,0.396,0.000e+0
CYHR1,0.101,0.396,0.000e+0
RGS11,0.077,0.396,0.000e+0
FTL,0.324,0.395,0.000e+0
CREBRF,0.123,0.395,0.000e+0
BHLHE40,0.037,0.395,0.000e+0
ABCA7,0.051,0.395,0.000e+0
PAFAH1B2,0.131,0.394,0.000e+0
SYT1,0.392,0.394,0.000e+0
SELENOW,0.246,0.394,0.000e+0
CPNE5,0.105,0.394,0.000e+0
KIAA0513,0.122,0.394,0.000e+0
ANKRD26,0.252,0.394,0.000e+0
CTTN,0.141,0.394,0.000e+0
GABRA4,0.153,0.393,0.000e+0
UPF2,0.127,0.393,0.000e+0
PXYLP1,0.066,0.392,0.000e+0
TAMALIN,0.031,0.392,0.000e+0
GMFB,0.073,0.392,0.000e+0
SORL1,0.250,0.391,0.000e+0
PRAP1,0.009,0.391,1.059e-137
COPRS,0.073,0.391,0.000e+0
PCNX4,0.121,0.390,0.000e+0
SRSF5,0.195,0.390,0.000e+0
GTF3C1,0.109,0.390,0.000e+0
CTC-337B15.3,0.011,0.390,6.694e-166
IGIP,0.048,0.390,0.000e+0
OGFR,0.090,0.389,0.000e+0
ZDHHC11B,0.081,0.389,0.000e+0
SERF2,0.153,0.389,0.000e+0
MRTFA,0.184,0.389,0.000e+0
TERF2IP,0.220,0.389,0.000e+0
MGC4859,0.024,0.389,0.000e+0
HSF1,0.039,0.389,0.000e+0
RNF34,0.073,0.389,0.000e+0
EPHX4,0.071,0.388,0.000e+0
LINC02388,0.049,0.387,0.000e+0
SLC24A2,0.421,0.387,0.000e+0
TNFSF13B,0.046,0.387,0.000e+0
LL22NC03-44A4.3,0.010,0.387,5.236e-153
RP11-608O21.1,0.037,0.386,0.000e+0
RUFY1-AS1,0.030,0.386,0.000e+0
ARID5B,0.233,0.386,0.000e+0
NUDCD3,0.151,0.385,0.000e+0
CWF19L2,0.138,0.385,0.000e+0
RAB26,0.088,0.385,0.000e+0
ZNF692,0.073,0.384,0.000e+0
VWA3A,0.067,0.384,0.000e+0
CTSB,0.117,0.384,0.000e+0
NRXN2,0.226,0.383,0.000e+0
NECTIN1,0.056,0.383,0.000e+0
ASIC2,0.474,0.383,0.000e+0
RBM25,0.219,0.382,0.000e+0
RAB40C,0.116,0.382,0.000e+0
ZSWIM8,0.089,0.382,0.000e+0
RHOXF1-AS1,0.027,0.382,0.000e+0
CLDN12,0.074,0.382,0.000e+0
HCFC1R1,0.093,0.381,0.000e+0
BAG4,0.088,0.381,0.000e+0
PIGQ,0.073,0.381,0.000e+0
SLC35E2A,0.045,0.380,0.000e+0
SHLD2,0.079,0.380,0.000e+0
MTA1,0.051,0.380,0.000e+0
RMND5A,0.085,0.380,0.000e+0
ILRUN,0.068,0.380,0.000e+0
ABR,0.222,0.379,0.000e+0
RP11-304M2.3,0.021,0.378,0.000e+0
MAST1,0.181,0.378,0.000e+0
TECR,0.079,0.377,0.000e+0
AK5,0.367,0.377,0.000e+0
C6orf136,0.040,0.377,0.000e+0
ZNF280B,0.033,0.377,0.000e+0
PTPN9,0.108,0.376,0.000e+0
UBQLN4,0.047,0.376,0.000e+0
LSAMP-AS1,0.076,0.376,0.000e+0
CSMD1,0.554,0.376,0.000e+0
SLC30A10,0.088,0.376,0.000e+0
CFL1,0.268,0.376,0.000e+0
GOLM2,0.229,0.376,0.000e+0
ATP2B1,0.397,0.376,0.000e+0
FAM185A,0.119,0.375,0.000e+0
TUBB8,0.012,0.375,1.029e-186
SSX2IP,0.160,0.375,0.000e+0
ERO1A,0.069,0.374,0.000e+0
PLP1,0.084,0.374,0.000e+0
DRD1,0.031,0.374,0.000e+0
BASP1,0.388,0.374,0.000e+0
PTMA,0.315,0.373,0.000e+0
MBNL1,0.295,0.373,0.000e+0
BLCAP,0.145,0.373,0.000e+0
PPIP5K1,0.099,0.373,0.000e+0
ITPRID2,0.072,0.373,0.000e+0
LINC01123,0.015,0.373,2.057e-233
RP11-511P7.5,0.018,0.373,1.289e-274
VARS1,0.026,0.373,0.000e+0
CPNE6,0.048,0.372,0.000e+0
CH17-140K24.8,0.017,0.372,1.504e-254
UNC5A,0.102,0.372,0.000e+0
PIANP,0.079,0.372,0.000e+0
RP11-378J18.9,0.008,0.371,3.098e-134
FBXO32,0.101,0.371,0.000e+0
RP11-314N13.10,0.036,0.371,0.000e+0
TMEM160,0.108,0.371,0.000e+0
PTPN20,0.042,0.371,0.000e+0
THRB,0.400,0.370,0.000e+0
FAM131B,0.069,0.370,0.000e+0
DUBR,0.104,0.370,0.000e+0
RAB11FIP4,0.175,0.370,0.000e+0
FAM81A,0.142,0.369,0.000e+0
CAMK2G,0.188,0.369,0.000e+0
RETREG3,0.058,0.369,0.000e+0
AMIGO1,0.043,0.369,0.000e+0
SHFL,0.053,0.369,0.000e+0
CC2D1A,0.114,0.369,0.000e+0
MTSS2,0.057,0.368,0.000e+0
DNAI4,0.047,0.368,0.000e+0
SGSM2,0.096,0.368,0.000e+0
GABRA5,0.080,0.368,0.000e+0
PPFIA4,0.099,0.368,0.000e+0
RP11-637O19.3,0.034,0.368,0.000e+0
TRPM2,0.078,0.368,0.000e+0
ADCK5,0.031,0.367,0.000e+0
NPIPB11,0.025,0.367,0.000e+0
ARHGEF17,0.067,0.366,0.000e+0
DHRSX,0.081,0.366,0.000e+0
ARL17A,0.055,0.366,0.000e+0
UBE2M,0.084,0.366,0.000e+0
HEXIM1,0.045,0.365,0.000e+0
TBC1D3P1-DHX40P1,0.031,0.364,0.000e+0
KCTD2,0.076,0.364,0.000e+0
RNF103-CHMP3,0.032,0.364,0.000e+0
ACTR3B,0.117,0.364,0.000e+0
MLST8,0.052,0.363,0.000e+0
KMT2B,0.034,0.363,0.000e+0
DENND4A,0.265,0.363,0.000e+0
USP2,0.043,0.363,0.000e+0
VPS35L,0.091,0.363,0.000e+0
SEM1,0.126,0.362,0.000e+0
PTDSS2,0.069,0.362,0.000e+0
RP11-439A17.4,0.017,0.362,3.699e-259
FBLL1,0.044,0.362,0.000e+0
EML2,0.091,0.361,0.000e+0
CMTM4,0.112,0.361,0.000e+0
MACO1,0.120,0.361,0.000e+0
SSBP3,0.246,0.361,0.000e+0
P3H3,0.034,0.360,0.000e+0
PLXND1,0.046,0.360,0.000e+0
HPCAL1,0.142,0.360,0.000e+0
TYW1B,0.071,0.360,0.000e+0
CADM3,0.181,0.359,0.000e+0
MARCHF6,0.216,0.359,0.000e+0
RP3-406A7.7,0.023,0.359,0.000e+0
ARHGEF3,0.184,0.359,0.000e+0
PLEKHA2,0.048,0.359,0.000e+0
ATRNL1,0.481,0.358,0.000e+0
MAPK11,0.067,0.358,0.000e+0
BDNF-AS,0.076,0.358,0.000e+0
RUBCN,0.082,0.358,0.000e+0
CARNMT1,0.072,0.357,0.000e+0
NELFA,0.131,0.357,0.000e+0
DYNC1H1,0.242,0.357,0.000e+0
OCRL,0.064,0.357,0.000e+0
SEMA6B,0.093,0.357,0.000e+0
SEC22B,0.038,0.356,0.000e+0
LINC01725,0.157,0.356,0.000e+0
ZNNT1,0.038,0.356,0.000e+0
VPS45,0.113,0.356,0.000e+0
CENPC,0.122,0.355,0.000e+0
DIRAS2,0.136,0.355,0.000e+0
TAX1BP1,0.173,0.354,0.000e+0
METTL26,0.081,0.354,0.000e+0
SYNGAP1,0.092,0.354,0.000e+0
SHC2,0.075,0.354,0.000e+0
NUTM2A-AS1,0.164,0.354,0.000e+0
LRTM2,0.031,0.354,0.000e+0
TNXB,0.025,0.353,0.000e+0
CTD-2575K13.8,0.008,0.353,3.057e-123
MARCKS,0.106,0.353,0.000e+0
CYFIP2,0.216,0.353,0.000e+0
AMD1,0.100,0.352,0.000e+0
ATP2A2,0.215,0.352,0.000e+0
LINC01378,0.216,0.352,0.000e+0
DCTN5,0.077,0.352,0.000e+0
CASKIN1,0.086,0.352,0.000e+0
FXYD1,0.028,0.352,0.000e+0
RP4-669P10.20,0.018,0.351,5.043e-264
PABPN1,0.130,0.351,0.000e+0
NPM2,0.063,0.351,0.000e+0
USF3,0.049,0.351,0.000e+0
NAPEPLD,0.126,0.351,0.000e+0
DUSP8,0.073,0.350,0.000e+0
RETREG1,0.147,0.350,0.000e+0
TMEM35A,0.077,0.350,0.000e+0
PCBP1,0.099,0.350,0.000e+0
LINC01633,0.010,0.350,1.929e-162
RNMT,0.152,0.349,0.000e+0
FAM131A,0.068,0.349,0.000e+0
ZSCAN31,0.042,0.349,0.000e+0
WIPF3,0.131,0.349,0.000e+0
FAAH,0.060,0.349,0.000e+0
CFAP251,0.036,0.349,0.000e+0
SLC39A10,0.220,0.349,0.000e+0
CYFIP1,0.069,0.348,0.000e+0
NT5C3B,0.039,0.348,0.000e+0
RP11-356C4.5,0.015,0.348,1.049e-239
RABL2B,0.043,0.347,0.000e+0
TMEM25,0.051,0.347,0.000e+0
DNAJB14,0.171,0.346,0.000e+0
PUM3,0.128,0.346,0.000e+0
MSLN,0.009,0.346,4.389e-135
ZDBF2,0.099,0.345,0.000e+0
GAS2L1,0.039,0.345,0.000e+0
AKAP11,0.160,0.345,0.000e+0
CYGB,0.035,0.345,0.000e+0
KMT2A,0.234,0.345,0.000e+0
CFAP46,0.054,0.344,0.000e+0
DUS1L,0.048,0.344,0.000e+0
REXO4,0.027,0.344,0.000e+0
BMT2,0.085,0.344,0.000e+0
MAN2C1,0.068,0.344,0.000e+0
SREK1,0.114,0.344,0.000e+0
MINDY2,0.109,0.343,0.000e+0
UBAP1L,0.088,0.343,0.000e+0
DZIP3,0.178,0.343,0.000e+0
KDM7A,0.058,0.343,0.000e+0
ZRANB2,0.202,0.343,0.000e+0
MED22,0.019,0.342,1.558e-284
EIF5B,0.136,0.342,0.000e+0
P4HTM,0.093,0.342,0.000e+0
FAM189B,0.027,0.342,0.000e+0
EMSY,0.081,0.342,0.000e+0
RELCH,0.136,0.342,0.000e+0
DENND4B,0.055,0.341,0.000e+0
CALCOCO2,0.064,0.341,0.000e+0
SLC2A6,0.029,0.341,0.000e+0
RP11-675F6.4,0.022,0.341,0.000e+0
NCOA4,0.037,0.340,0.000e+0
SEPTIN9,0.066,0.340,0.000e+0
KIF5A,0.156,0.340,0.000e+0
NPTX1,0.120,0.340,0.000e+0
SNRNP70,0.177,0.340,0.000e+0
RP11-118M9.3,0.034,0.340,0.000e+0
ZFYVE28,0.198,0.340,0.000e+0
BPNT2,0.045,0.340,0.000e+0
RFPL1S,0.115,0.339,0.000e+0
SSU72,0.085,0.339,0.000e+0
B4GALNT1,0.079,0.338,0.000e+0
GFAP,0.047,0.338,0.000e+0
MORF4L2,0.172,0.338,0.000e+0
CBX7,0.048,0.338,0.000e+0
GAB1,0.182,0.337,0.000e+0
PART1,0.075,0.337,0.000e+0
MPP1,0.032,0.337,0.000e+0
BAIAP2L1,0.049,0.337,0.000e+0
NR1D2,0.103,0.336,0.000e+0
NETO1-DT,0.046,0.336,0.000e+0
CA7,0.021,0.336,0.000e+0
SGTA,0.059,0.336,0.000e+0
IGSF8,0.100,0.336,0.000e+0
MALRD1,0.051,0.336,0.000e+0
CCDC30,0.149,0.336,0.000e+0
PRXL2A,0.095,0.336,0.000e+0
CD47,0.229,0.335,0.000e+0
TUT7,0.060,0.335,0.000e+0
SKAP2,0.091,0.334,0.000e+0
THSD4-AS1,0.044,0.334,0.000e+0
P3H2,0.073,0.333,0.000e+0
SYMPK,0.085,0.333,0.000e+0
CFAP69,0.048,0.333,0.000e+0
CBLN2,0.277,0.333,0.000e+0
FAM234B,0.043,0.333,0.000e+0
GNB2,0.087,0.333,0.000e+0
REEP2,0.119,0.333,0.000e+0
ELP1,0.061,0.333,0.000e+0
RNASE10,0.015,0.332,8.566e-235
PTGR1,0.106,0.332,0.000e+0
B4GALNT4,0.083,0.332,0.000e+0
SMIM29,0.053,0.332,0.000e+0
KIF3C,0.152,0.332,0.000e+0
NEFH,0.051,0.332,0.000e+0
HSF4,0.056,0.332,0.000e+0
AC005537.2,0.057,0.332,0.000e+0
ACTN4,0.126,0.331,0.000e+0
AP2A2,0.130,0.331,0.000e+0
CEP43,0.066,0.331,0.000e+0
FMN1,0.298,0.331,0.000e+0
RHBDL1,0.056,0.331,0.000e+0
WFS1,0.033,0.331,0.000e+0
ZNF783,0.043,0.331,0.000e+0
C4orf50,0.051,0.331,0.000e+0
IFT172,0.099,0.331,0.000e+0
PRKCZ,0.112,0.331,0.000e+0
RAB3GAP1,0.186,0.330,0.000e+0
SCN4B,0.032,0.330,0.000e+0
KIF13A,0.187,0.330,0.000e+0
HS6ST1,0.097,0.330,0.000e+0
RNF128,0.038,0.330,0.000e+0
CEBPD,0.043,0.330,0.000e+0
RASGEF1A,0.044,0.330,0.000e+0
MORF4L1,0.200,0.330,0.000e+0
ADGRL3,0.418,0.330,0.000e+0
RFNG,0.061,0.329,0.000e+0
KDM2B,0.076,0.329,0.000e+0
OPRD1,0.047,0.329,0.000e+0
LINC02153,0.027,0.329,0.000e+0
RP11-479O9.4,0.082,0.329,0.000e+0
NAB2,0.042,0.329,0.000e+0
SNX10,0.117,0.329,0.000e+0
LINC01252,0.066,0.329,0.000e+0
RP11-348J24.1,0.054,0.329,0.000e+0
NAA60,0.026,0.329,0.000e+0
LMTK3,0.122,0.329,0.000e+0
LAMA2,0.148,0.329,0.000e+0
GGACT,0.013,0.328,2.828e-188
ARMCX4,0.072,0.328,0.000e+0
STK25,0.074,0.328,0.000e+0
SCAMP3,0.033,0.328,0.000e+0
PLEKHO1,0.060,0.328,0.000e+0
KRIT1,0.121,0.328,0.000e+0
CFAP44,0.051,0.327,0.000e+0
CDK16,0.059,0.327,0.000e+0
HSPA4L,0.101,0.327,0.000e+0
HDAC10,0.050,0.327,0.000e+0
ERICH3,0.081,0.327,0.000e+0
STMN4,0.167,0.326,0.000e+0
SYTL2,0.099,0.326,0.000e+0
PPP4R3B,0.068,0.326,0.000e+0
PRKAR1A,0.123,0.326,0.000e+0
CAST,0.075,0.326,0.000e+0
FNDC10,0.023,0.326,0.000e+0
GCNA,0.031,0.325,0.000e+0
ZNF875,0.055,0.325,0.000e+0
RP11-53O19.3,0.031,0.325,0.000e+0
CROCC,0.085,0.325,0.000e+0
SOHLH1,0.027,0.325,0.000e+0
CTC-459F4.3,0.092,0.324,0.000e+0
SOWAHA,0.025,0.324,0.000e+0
SCPEP1,0.047,0.324,0.000e+0
CTNNAL1,0.096,0.324,0.000e+0
CIAO3,0.038,0.323,0.000e+0
ZNF658,0.026,0.323,0.000e+0
TRIM37,0.139,0.323,0.000e+0
RP11-584P21.2,0.079,0.323,0.000e+0
KCNA1,0.038,0.323,0.000e+0
DRP2,0.048,0.323,0.000e+0
DUSP3,0.044,0.323,0.000e+0
STPG2,0.094,0.322,0.000e+0
UBQLN2,0.073,0.322,0.000e+0
TMEM250,0.023,0.322,0.000e+0
CELF3,0.073,0.322,0.000e+0
CDC37,0.087,0.322,0.000e+0
AGPAT2,0.018,0.322,3.770e-268
OTUD7B,0.044,0.321,0.000e+0
CTD-2561J22.3,0.073,0.321,0.000e+0
USP43,0.061,0.321,0.000e+0
STEAP1B,0.038,0.321,0.000e+0
AC007040.11,0.020,0.321,1.989e-289
MATK,0.079,0.320,0.000e+0
RNPS1,0.111,0.320,0.000e+0
BRSK1,0.087,0.320,0.000e+0
ELAVL1,0.091,0.320,0.000e+0
RP11-9J18.1,0.011,0.320,1.007e-176
RP11-717F1.2,0.014,0.320,1.186e-214
GGT7,0.124,0.320,0.000e+0
JDP2,0.044,0.320,0.000e+0
SPTAN1,0.269,0.320,0.000e+0
MAP7D2,0.101,0.320,0.000e+0
TTBK2,0.199,0.320,0.000e+0
ART3,0.050,0.319,0.000e+0
NEMF,0.150,0.319,0.000e+0
SNU13,0.100,0.319,0.000e+0
LINC02193,0.013,0.319,2.257e-202
NFIC,0.111,0.319,0.000e+0
CYP4F26P,0.018,0.319,2.763e-265
AP1M1,0.070,0.318,0.000e+0
OGA,0.202,0.318,0.000e+0
MAGED1,0.135,0.318,0.000e+0
FAM168B,0.109,0.318,0.000e+0
RP11-57A19.7,0.021,0.318,0.000e+0
PGK1,0.083,0.318,0.000e+0
LRRC23,0.032,0.318,0.000e+0
PNPLA7,0.059,0.318,0.000e+0
N4BP2L1,0.101,0.318,0.000e+0
ADAMTS2,0.043,0.317,0.000e+0
HMCN2,0.023,0.317,0.000e+0
JAZF1-AS1,0.038,0.317,0.000e+0
KLHL2,0.144,0.317,0.000e+0
CDR2,0.142,0.317,0.000e+0
SLC16A1-AS1,0.152,0.317,0.000e+0
RP11-574F21.3,0.019,0.317,6.476e-272
ODR4,0.058,0.317,0.000e+0
PIP5K1C,0.081,0.317,0.000e+0
C2CD2L,0.041,0.317,0.000e+0
RPRD1A,0.154,0.317,0.000e+0
SESN1,0.180,0.317,0.000e+0
ZNF316,0.034,0.317,0.000e+0
RP11-426C22.5,0.036,0.317,0.000e+0
SORT1,0.153,0.316,0.000e+0
MRNIP,0.058,0.316,0.000e+0
VEGFD,0.023,0.316,0.000e+0
DYNLRB1,0.128,0.316,0.000e+0
PPP1R16B,0.157,0.316,0.000e+0
MTM1,0.048,0.315,0.000e+0
SIMC1,0.127,0.315,0.000e+0
MCMDC2,0.034,0.315,0.000e+0
SNX31,0.032,0.315,0.000e+0
MFSD13A,0.028,0.314,0.000e+0
SNX32,0.130,0.314,0.000e+0
DISP2,0.054,0.314,0.000e+0
NACC1,0.044,0.314,0.000e+0
MAGEE1,0.027,0.314,0.000e+0
RGL2,0.026,0.314,0.000e+0
GAK,0.076,0.314,0.000e+0
MEST,0.055,0.314,0.000e+0
RP11-337C18.10,0.031,0.314,0.000e+0
ACLY,0.035,0.313,0.000e+0
NUDT21,0.075,0.313,0.000e+0
CENATAC,0.057,0.313,0.000e+0
SHPRH,0.186,0.313,0.000e+0
GUK1,0.125,0.313,0.000e+0
TMEM151A,0.052,0.313,0.000e+0
AP5M1,0.064,0.313,0.000e+0
GPR155,0.156,0.312,0.000e+0
CFAP221,0.075,0.312,0.000e+0
CEP170B,0.045,0.312,0.000e+0
TCEA2,0.077,0.312,0.000e+0
TRIM26,0.031,0.312,0.000e+0
HOOK1,0.068,0.312,0.000e+0
RP1-225E12.2,0.020,0.311,2.417e-291
EIF4H,0.055,0.311,0.000e+0
DVL1,0.042,0.311,0.000e+0
LINC02198,0.018,0.311,5.898e-271
ACIN1,0.120,0.311,0.000e+0
SUGP2,0.151,0.311,0.000e+0
LRRC37B,0.098,0.311,0.000e+0
BCAP29,0.121,0.311,0.000e+0
PPP1R11,0.023,0.311,0.000e+0
RP11-679B19.1,0.015,0.310,5.002e-212
NAALAD2,0.107,0.310,0.000e+0
TASOR,0.068,0.310,0.000e+0
IFIT1,0.031,0.310,0.000e+0
RFPL2,0.032,0.310,0.000e+0
CAPNS1,0.071,0.310,0.000e+0
RAB11B,0.085,0.309,0.000e+0
SAXO2,0.029,0.309,0.000e+0
RNF149,0.123,0.309,0.000e+0
ZNF84,0.048,0.309,0.000e+0
RRP12,0.049,0.309,0.000e+0
FAM160B2,0.032,0.308,0.000e+0
MAPK10-AS1,0.089,0.308,0.000e+0
MSH4,0.047,0.308,0.000e+0
MYLPF,0.023,0.308,0.000e+0
AC016716.2,0.049,0.308,0.000e+0
DCAF1,0.035,0.308,0.000e+0
ANAPC1,0.061,0.307,0.000e+0
MGAT5B,0.091,0.307,0.000e+0
CTC-260E6.6,0.035,0.307,0.000e+0
PPP2CB,0.116,0.307,0.000e+0
HGS,0.057,0.307,0.000e+0
PRR3,0.029,0.307,0.000e+0
DIPK1B,0.036,0.307,0.000e+0
DENND10,0.057,0.307,0.000e+0
PELI3,0.030,0.306,0.000e+0
RASSF5,0.023,0.306,0.000e+0
PLEKHM1,0.030,0.306,0.000e+0
BICRAL,0.138,0.306,0.000e+0
CCDC92,0.167,0.305,0.000e+0
WIPF2,0.115,0.305,0.000e+0
LONRF2,0.182,0.305,0.000e+0
CDC40,0.089,0.305,0.000e+0
STAMBPL1,0.085,0.305,0.000e+0
GOLGB1,0.133,0.305,0.000e+0
ACBD6,0.152,0.305,0.000e+0
CDK11B,0.049,0.304,0.000e+0
PICK1,0.050,0.304,0.000e+0
GNB3,0.025,0.304,0.000e+0
TUBG2,0.057,0.303,0.000e+0
RP11-106M3.2,0.098,0.303,0.000e+0
GPR22,0.077,0.303,0.000e+0
AC131056.3,0.014,0.302,2.109e-205
ITSN2,0.141,0.302,0.000e+0
L1CAM,0.056,0.302,0.000e+0
HMGN3,0.156,0.302,0.000e+0
RP11-339B21.12,0.018,0.302,5.027e-237
KCNC4,0.046,0.302,0.000e+0
MARCHF7,0.084,0.302,0.000e+0
DSG1-AS1,0.012,0.302,8.219e-174
CELF5,0.220,0.301,0.000e+0
DIPK1A,0.152,0.301,0.000e+0
PFKL,0.065,0.301,0.000e+0
C6orf62,0.087,0.301,0.000e+0
TARS3,0.082,0.301,0.000e+0
SLC38A11,0.091,0.301,0.000e+0
KMT5B,0.090,0.301,0.000e+0
RP11-615I2.6,0.011,0.300,3.220e-172
ARMH1,0.032,0.300,0.000e+0
GLB1L3,0.035,0.300,0.000e+0
LDAH,0.056,0.300,0.000e+0
ANKRD34A,0.015,0.300,1.620e-219
ANAPC16,0.108,0.300,0.000e+0
WAPL,0.062,0.300,0.000e+0
MAP1S,0.050,0.300,0.000e+0
ADAR,0.104,0.300,0.000e+0
CFAP70,0.043,0.300,0.000e+0
GNG3,0.112,0.299,0.000e+0
IARS1,0.067,0.299,0.000e+0
ARL8B,0.101,0.299,0.000e+0
SURF6,0.019,0.299,2.963e-279
HCN2,0.044,0.299,0.000e+0
CAP2,0.200,0.299,0.000e+0
WASHC4,0.052,0.299,0.000e+0
VPS52,0.026,0.299,0.000e+0
PCGF2,0.024,0.299,0.000e+0
SMIM13,0.071,0.299,0.000e+0
FAM177B,0.013,0.299,1.014e-201
ANKRD12,0.246,0.298,0.000e+0
STK19,0.017,0.298,9.647e-249
MGAT3,0.081,0.298,0.000e+0
AGBL4,0.347,0.298,0.000e+0
ARAP2,0.175,0.298,0.000e+0
RPS6KA5,0.179,0.298,0.000e+0
MOB2,0.047,0.298,0.000e+0
RP11-654K19.6,0.014,0.298,6.845e-216
LRRC4B,0.132,0.298,0.000e+0
FOSL2,0.025,0.297,0.000e+0
NME5,0.085,0.297,0.000e+0
BRD4,0.119,0.297,0.000e+0
RAB15,0.068,0.297,0.000e+0
NCKAP1,0.204,0.297,0.000e+0
ATP6V1C1,0.089,0.297,0.000e+0
NFIX,0.191,0.297,0.000e+0
KDM2B-DT,0.033,0.297,0.000e+0
LGI1,0.093,0.296,0.000e+0
CCHCR1,0.019,0.296,2.996e-273
LINC02794,0.007,0.296,5.552e-104
USP47,0.185,0.296,0.000e+0
TF,0.049,0.296,0.000e+0
ATP2B4,0.153,0.296,0.000e+0
CCDC34,0.049,0.295,0.000e+0
PARP11-AS1,0.015,0.295,4.757e-228
C9orf16,0.106,0.295,0.000e+0
ZGLP1,0.030,0.295,0.000e+0
G3BP2,0.141,0.295,0.000e+0
RP11-74E22.8,0.014,0.294,9.951e-206
ADAMTS13,0.021,0.294,6.307e-299
PRPF4B,0.107,0.294,0.000e+0
FTH1,0.321,0.294,0.000e+0
OTUB1,0.075,0.294,0.000e+0
RHBDL3,0.083,0.293,0.000e+0
RHBDD3,0.052,0.293,0.000e+0
WARS1,0.031,0.293,0.000e+0
CDC34,0.043,0.293,0.000e+0
TUBGCP6,0.051,0.293,0.000e+0
POGZ,0.196,0.293,0.000e+0
RP11-172H24.4,0.013,0.293,6.449e-199
SPEG,0.054,0.293,0.000e+0
MAL2,0.066,0.293,0.000e+0
DARS1,0.057,0.293,0.000e+0
NOL4L,0.055,0.293,0.000e+0
PAK6,0.026,0.293,0.000e+0
TMEM94,0.039,0.293,0.000e+0
RBM10,0.046,0.292,0.000e+0
CUL9,0.048,0.292,0.000e+0
TCEAL2,0.100,0.292,0.000e+0
RP11-770G2.2,0.048,0.292,0.000e+0
KCNC3,0.055,0.292,0.000e+0
ZNF831,0.027,0.292,0.000e+0
WDR6,0.064,0.292,0.000e+0
ICE1,0.075,0.292,0.000e+0
LARS1,0.080,0.291,0.000e+0
